Total Nacional;Comunidades y Ciudades Autónomas;Estado de la vivienda;Periodo;Total
Total;;General;2024T2;3.225
Total;;General;2024T1;3.317
Total;;General;2023T4;3.385
Total;;General;2023T3;2.336
Total;;General;2023T2;3.716
Total;;General;2023T1;3.714
Total;;General;2022T4;4.139
Total;;General;2022T3;2.942
Total;;General;2022T2;4.689
Total;;General;2022T1;5.362
Total;;General;2021T4;5.398
Total;;General;2021T3;4.114
Total;;General;2021T2;6.019
Total;;General;2021T1;5.163
Total;;General;2020T4;5.742
Total;;General;2020T3;4.737
Total;;General;2020T2;2.890
Total;;General;2020T1;5.551
Total;;General;2019T4;6.053
Total;;General;2019T3;5.743
Total;;General;2019T2;8.139
Total;;General;2019T1;7.553
Total;;General;2018T4;7.297
Total;;General;2018T3;4.926
Total;;General;2018T2;7.245
Total;;General;2018T1;6.779
Total;;General;2017T4;6.494
Total;;General;2017T3;4.741
Total;;General;2017T2;7.294
Total;;General;2017T1;9.190
Total;;General;2016T4;10.003
Total;;General;2016T3;7.943
Total;;General;2016T2;12.027
Total;;General;2016T1;11.315
Total;;General;2015T4;13.388
Total;;General;2015T3;11.671
Total;;General;2015T2;17.146
Total;;General;2015T1;17.827
Total;;General;2014T4;18.422
Total;;General;2014T3;13.730
Total;;General;2014T2;19.246
Total;;General;2014T1;19.024
Total;;Vivienda nueva;2024T2;244
Total;;Vivienda nueva;2024T1;392
Total;;Vivienda nueva;2023T4;353
Total;;Vivienda nueva;2023T3;210
Total;;Vivienda nueva;2023T2;284
Total;;Vivienda nueva;2023T1;359
Total;;Vivienda nueva;2022T4;437
Total;;Vivienda nueva;2022T3;275
Total;;Vivienda nueva;2022T2;428
Total;;Vivienda nueva;2022T1;963
Total;;Vivienda nueva;2021T4;634
Total;;Vivienda nueva;2021T3;514
Total;;Vivienda nueva;2021T2;776
Total;;Vivienda nueva;2021T1;551
Total;;Vivienda nueva;2020T4;741
Total;;Vivienda nueva;2020T3;823
Total;;Vivienda nueva;2020T2;546
Total;;Vivienda nueva;2020T1;995
Total;;Vivienda nueva;2019T4;1.088
Total;;Vivienda nueva;2019T3;1.385
Total;;Vivienda nueva;2019T2;2.264
Total;;Vivienda nueva;2019T1;1.694
Total;;Vivienda nueva;2018T4;1.470
Total;;Vivienda nueva;2018T3;1.106
Total;;Vivienda nueva;2018T2;1.610
Total;;Vivienda nueva;2018T1;1.129
Total;;Vivienda nueva;2017T4;1.272
Total;;Vivienda nueva;2017T3;1.054
Total;;Vivienda nueva;2017T2;1.255
Total;;Vivienda nueva;2017T1;1.169
Total;;Vivienda nueva;2016T4;1.316
Total;;Vivienda nueva;2016T3;827
Total;;Vivienda nueva;2016T2;1.695
Total;;Vivienda nueva;2016T1;1.506
Total;;Vivienda nueva;2015T4;1.939
Total;;Vivienda nueva;2015T3;1.593
Total;;Vivienda nueva;2015T2;2.279
Total;;Vivienda nueva;2015T1;2.245
Total;;Vivienda nueva;2014T4;2.749
Total;;Vivienda nueva;2014T3;2.235
Total;;Vivienda nueva;2014T2;2.708
Total;;Vivienda nueva;2014T1;3.620
Total;;Vivienda segunda mano;2024T2;2.981
Total;;Vivienda segunda mano;2024T1;2.925
Total;;Vivienda segunda mano;2023T4;3.032
Total;;Vivienda segunda mano;2023T3;2.126
Total;;Vivienda segunda mano;2023T2;3.432
Total;;Vivienda segunda mano;2023T1;3.355
Total;;Vivienda segunda mano;2022T4;3.702
Total;;Vivienda segunda mano;2022T3;2.667
Total;;Vivienda segunda mano;2022T2;4.261
Total;;Vivienda segunda mano;2022T1;4.399
Total;;Vivienda segunda mano;2021T4;4.764
Total;;Vivienda segunda mano;2021T3;3.600
Total;;Vivienda segunda mano;2021T2;5.243
Total;;Vivienda segunda mano;2021T1;4.612
Total;;Vivienda segunda mano;2020T4;5.001
Total;;Vivienda segunda mano;2020T3;3.914
Total;;Vivienda segunda mano;2020T2;2.344
Total;;Vivienda segunda mano;2020T1;4.556
Total;;Vivienda segunda mano;2019T4;4.965
Total;;Vivienda segunda mano;2019T3;4.358
Total;;Vivienda segunda mano;2019T2;5.875
Total;;Vivienda segunda mano;2019T1;5.859
Total;;Vivienda segunda mano;2018T4;5.827
Total;;Vivienda segunda mano;2018T3;3.820
Total;;Vivienda segunda mano;2018T2;5.635
Total;;Vivienda segunda mano;2018T1;5.650
Total;;Vivienda segunda mano;2017T4;5.222
Total;;Vivienda segunda mano;2017T3;3.687
Total;;Vivienda segunda mano;2017T2;6.039
Total;;Vivienda segunda mano;2017T1;8.021
Total;;Vivienda segunda mano;2016T4;8.687
Total;;Vivienda segunda mano;2016T3;7.116
Total;;Vivienda segunda mano;2016T2;10.332
Total;;Vivienda segunda mano;2016T1;9.809
Total;;Vivienda segunda mano;2015T4;11.449
Total;;Vivienda segunda mano;2015T3;10.078
Total;;Vivienda segunda mano;2015T2;14.867
Total;;Vivienda segunda mano;2015T1;15.582
Total;;Vivienda segunda mano;2014T4;15.673
Total;;Vivienda segunda mano;2014T3;11.495
Total;;Vivienda segunda mano;2014T2;16.538
Total;;Vivienda segunda mano;2014T1;15.404
Total;01 Andalucía;General;2024T2;695
Total;01 Andalucía;General;2024T1;686
Total;01 Andalucía;General;2023T4;804
Total;01 Andalucía;General;2023T3;624
Total;01 Andalucía;General;2023T2;980
Total;01 Andalucía;General;2023T1;1.031
Total;01 Andalucía;General;2022T4;1.133
Total;01 Andalucía;General;2022T3;747
Total;01 Andalucía;General;2022T2;1.081
Total;01 Andalucía;General;2022T1;1.543
Total;01 Andalucía;General;2021T4;1.299
Total;01 Andalucía;General;2021T3;966
Total;01 Andalucía;General;2021T2;1.389
Total;01 Andalucía;General;2021T1;1.103
Total;01 Andalucía;General;2020T4;1.191
Total;01 Andalucía;General;2020T3;931
Total;01 Andalucía;General;2020T2;528
Total;01 Andalucía;General;2020T1;1.003
Total;01 Andalucía;General;2019T4;1.369
Total;01 Andalucía;General;2019T3;1.213
Total;01 Andalucía;General;2019T2;2.024
Total;01 Andalucía;General;2019T1;1.242
Total;01 Andalucía;General;2018T4;1.215
Total;01 Andalucía;General;2018T3;1.061
Total;01 Andalucía;General;2018T2;1.575
Total;01 Andalucía;General;2018T1;1.353
Total;01 Andalucía;General;2017T4;1.690
Total;01 Andalucía;General;2017T3;1.430
Total;01 Andalucía;General;2017T2;1.988
Total;01 Andalucía;General;2017T1;2.669
Total;01 Andalucía;General;2016T4;2.812
Total;01 Andalucía;General;2016T3;2.143
Total;01 Andalucía;General;2016T2;3.482
Total;01 Andalucía;General;2016T1;3.138
Total;01 Andalucía;General;2015T4;3.499
Total;01 Andalucía;General;2015T3;3.020
Total;01 Andalucía;General;2015T2;4.645
