Total Nacional;Comunidades y Ciudades Autónomas;Naturaleza de la finca;Periodo;Total
Total;;Total fincas;2024T2;5.534
Total;;Total fincas;2024T1;5.400
Total;;Total fincas;2023T4;5.433
Total;;Total fincas;2023T3;3.355
Total;;Total fincas;2023T2;5.356
Total;;Total fincas;2023T1;5.182
Total;;Total fincas;2022T4;6.309
Total;;Total fincas;2022T3;4.184
Total;;Total fincas;2022T2;7.279
Total;;Total fincas;2022T1;8.534
Total;;Total fincas;2021T4;8.193
Total;;Total fincas;2021T3;6.649
Total;;Total fincas;2021T2;9.805
Total;;Total fincas;2021T1;8.234
Total;;Total fincas;2020T4;10.178
Total;;Total fincas;2020T3;8.545
Total;;Total fincas;2020T2;5.440
Total;;Total fincas;2020T1;10.820
Total;;Total fincas;2019T4;12.860
Total;;Total fincas;2019T3;12.233
Total;;Total fincas;2019T2;16.658
Total;;Total fincas;2019T1;15.036
Total;;Total fincas;2018T4;15.926
Total;;Total fincas;2018T3;9.649
Total;;Total fincas;2018T2;14.820
Total;;Total fincas;2018T1;14.369
Total;;Total fincas;2017T4;12.697
Total;;Total fincas;2017T3;9.176
Total;;Total fincas;2017T2;13.888
Total;;Total fincas;2017T1;17.249
Total;;Total fincas;2016T4;18.107
Total;;Total fincas;2016T3;14.662
Total;;Total fincas;2016T2;20.998
Total;;Total fincas;2016T1;19.337
Total;;Total fincas;2015T4;22.716
Total;;Total fincas;2015T3;19.625
Total;;Total fincas;2015T2;28.954
Total;;Total fincas;2015T1;31.182
Total;;Total fincas;2014T4;31.217
Total;;Total fincas;2014T3;23.608
Total;;Total fincas;2014T2;33.069
Total;;Total fincas;2014T1;32.645
Total;;Total fincas rústicas;2024T2;357
Total;;Total fincas rústicas;2024T1;450
Total;;Total fincas rústicas;2023T4;192
Total;;Total fincas rústicas;2023T3;180
Total;;Total fincas rústicas;2023T2;283
Total;;Total fincas rústicas;2023T1;224
Total;;Total fincas rústicas;2022T4;337
Total;;Total fincas rústicas;2022T3;189
Total;;Total fincas rústicas;2022T2;437
Total;;Total fincas rústicas;2022T1;349
Total;;Total fincas rústicas;2021T4;409
Total;;Total fincas rústicas;2021T3;401
Total;;Total fincas rústicas;2021T2;510
Total;;Total fincas rústicas;2021T1;346
Total;;Total fincas rústicas;2020T4;460
Total;;Total fincas rústicas;2020T3;412
Total;;Total fincas rústicas;2020T2;123
Total;;Total fincas rústicas;2020T1;560
Total;;Total fincas rústicas;2019T4;636
Total;;Total fincas rústicas;2019T3;550
Total;;Total fincas rústicas;2019T2;854
Total;;Total fincas rústicas;2019T1;718
Total;;Total fincas rústicas;2018T4;716
Total;;Total fincas rústicas;2018T3;462
Total;;Total fincas rústicas;2018T2;722
Total;;Total fincas rústicas;2018T1;761
Total;;Total fincas rústicas;2017T4;475
Total;;Total fincas rústicas;2017T3;1.263
Total;;Total fincas rústicas;2017T2;736
Total;;Total fincas rústicas;2017T1;832
Total;;Total fincas rústicas;2016T4;850
Total;;Total fincas rústicas;2016T3;670
Total;;Total fincas rústicas;2016T2;1.086
Total;;Total fincas rústicas;2016T1;1.155
Total;;Total fincas rústicas;2015T4;1.203
Total;;Total fincas rústicas;2015T3;1.053
Total;;Total fincas rústicas;2015T2;1.480
Total;;Total fincas rústicas;2015T1;1.558
Total;;Total fincas rústicas;2014T4;1.371
Total;;Total fincas rústicas;2014T3;1.100
Total;;Total fincas rústicas;2014T2;1.675
Total;;Total fincas rústicas;2014T1;1.523
Total;;Fincas urbanas: viviendas;2024T2;3.225
Total;;Fincas urbanas: viviendas;2024T1;3.317
Total;;Fincas urbanas: viviendas;2023T4;3.385
Total;;Fincas urbanas: viviendas;2023T3;2.336
Total;;Fincas urbanas: viviendas;2023T2;3.716
Total;;Fincas urbanas: viviendas;2023T1;3.714
Total;;Fincas urbanas: viviendas;2022T4;4.139
Total;;Fincas urbanas: viviendas;2022T3;2.942
Total;;Fincas urbanas: viviendas;2022T2;4.689
Total;;Fincas urbanas: viviendas;2022T1;5.362
Total;;Fincas urbanas: viviendas;2021T4;5.398
Total;;Fincas urbanas: viviendas;2021T3;4.114
Total;;Fincas urbanas: viviendas;2021T2;6.019
Total;;Fincas urbanas: viviendas;2021T1;5.163
Total;;Fincas urbanas: viviendas;2020T4;5.742
Total;;Fincas urbanas: viviendas;2020T3;4.737
Total;;Fincas urbanas: viviendas;2020T2;2.890
Total;;Fincas urbanas: viviendas;2020T1;5.551
Total;;Fincas urbanas: viviendas;2019T4;6.053
Total;;Fincas urbanas: viviendas;2019T3;5.743
Total;;Fincas urbanas: viviendas;2019T2;8.139
Total;;Fincas urbanas: viviendas;2019T1;7.553
Total;;Fincas urbanas: viviendas;2018T4;7.297
Total;;Fincas urbanas: viviendas;2018T3;4.926
Total;;Fincas urbanas: viviendas;2018T2;7.245
Total;;Fincas urbanas: viviendas;2018T1;6.779
Total;;Fincas urbanas: viviendas;2017T4;6.494
Total;;Fincas urbanas: viviendas;2017T3;4.741
Total;;Fincas urbanas: viviendas;2017T2;7.294
Total;;Fincas urbanas: viviendas;2017T1;9.190
Total;;Fincas urbanas: viviendas;2016T4;10.003
Total;;Fincas urbanas: viviendas;2016T3;7.943
Total;;Fincas urbanas: viviendas;2016T2;12.027
Total;;Fincas urbanas: viviendas;2016T1;11.315
Total;;Fincas urbanas: viviendas;2015T4;13.388
Total;;Fincas urbanas: viviendas;2015T3;11.671
Total;;Fincas urbanas: viviendas;2015T2;17.146
Total;;Fincas urbanas: viviendas;2015T1;17.827
Total;;Fincas urbanas: viviendas;2014T4;18.422
Total;;Fincas urbanas: viviendas;2014T3;13.730
Total;;Fincas urbanas: viviendas;2014T2;19.246
Total;;Fincas urbanas: viviendas;2014T1;19.024
Total;;Fincas urbanas: solares;2024T2;103
Total;;Fincas urbanas: solares;2024T1;102
Total;;Fincas urbanas: solares;2023T4;148
Total;;Fincas urbanas: solares;2023T3;81
Total;;Fincas urbanas: solares;2023T2;126
Total;;Fincas urbanas: solares;2023T1;145
