Total Nacional;Comunidades y Ciudades Autónomas;Titular de la vivienda;Periodo;Total
Total;;Total;2024T2;3.225
Total;;Total;2024T1;3.317
Total;;Total;2023T4;3.385
Total;;Total;2023T3;2.336
Total;;Total;2023T2;3.716
Total;;Total;2023T1;3.714
Total;;Total;2022T4;4.139
Total;;Total;2022T3;2.942
Total;;Total;2022T2;4.689
Total;;Total;2022T1;5.362
Total;;Total;2021T4;5.398
Total;;Total;2021T3;4.114
Total;;Total;2021T2;6.019
Total;;Total;2021T1;5.163
Total;;Total;2020T4;5.742
Total;;Total;2020T3;4.737
Total;;Total;2020T2;2.890
Total;;Total;2020T1;5.551
Total;;Total;2019T4;6.053
Total;;Total;2019T3;5.743
Total;;Total;2019T2;8.139
Total;;Total;2019T1;7.553
Total;;Total;2018T4;7.297
Total;;Total;2018T3;4.926
Total;;Total;2018T2;7.245
Total;;Total;2018T1;6.779
Total;;Total;2017T4;6.494
Total;;Total;2017T3;4.741
Total;;Total;2017T2;7.294
Total;;Total;2017T1;9.190
Total;;Total;2016T4;10.003
Total;;Total;2016T3;7.943
Total;;Total;2016T2;12.027
Total;;Total;2016T1;11.315
Total;;Total;2015T4;13.388
Total;;Total;2015T3;11.671
Total;;Total;2015T2;17.146
Total;;Total;2015T1;17.827
Total;;Total;2014T4;18.422
Total;;Total;2014T3;13.730
Total;;Total;2014T2;19.246
Total;;Total;2014T1;19.024
Total;;Persona física;2024T2;2.727
Total;;Persona física;2024T1;2.831
Total;;Persona física;2023T4;2.818
Total;;Persona física;2023T3;2.110
Total;;Persona física;2023T2;3.291
Total;;Persona física;2023T1;3.150
Total;;Persona física;2022T4;3.670
Total;;Persona física;2022T3;2.555
Total;;Persona física;2022T2;3.912
Total;;Persona física;2022T1;4.206
Total;;Persona física;2021T4;4.149
Total;;Persona física;2021T3;2.933
Total;;Persona física;2021T2;4.163
Total;;Persona física;2021T1;3.893
Total;;Persona física;2020T4;3.840
Total;;Persona física;2020T3;2.359
Total;;Persona física;2020T2;1.193
Total;;Persona física;2020T1;2.300
Total;;Persona física;2019T4;1.909
Total;;Persona física;2019T3;1.350
Total;;Persona física;2019T2;2.057
Total;;Persona física;2019T1;2.066
Total;;Persona física;2018T4;2.169
Total;;Persona física;2018T3;1.678
Total;;Persona física;2018T2;2.523
Total;;Persona física;2018T1;2.671
Total;;Persona física;2017T4;2.955
Total;;Persona física;2017T3;2.120
Total;;Persona física;2017T2;3.733
Total;;Persona física;2017T1;5.614
Total;;Persona física;2016T4;6.158
Total;;Persona física;2016T3;5.007
Total;;Persona física;2016T2;8.113
Total;;Persona física;2016T1;7.911
Total;;Persona física;2015T4;9.023
Total;;Persona física;2015T3;7.651
Total;;Persona física;2015T2;11.114
Total;;Persona física;2015T1;11.363
Total;;Persona física;2014T4;11.599
Total;;Persona física;2014T3;8.804
Total;;Persona física;2014T2;12.429
Total;;Persona física;2014T1;12.107
Total;;Persona jurídica;2024T2;498
Total;;Persona jurídica;2024T1;486
Total;;Persona jurídica;2023T4;567
Total;;Persona jurídica;2023T3;226
Total;;Persona jurídica;2023T2;425
Total;;Persona jurídica;2023T1;564
Total;;Persona jurídica;2022T4;469
Total;;Persona jurídica;2022T3;387
Total;;Persona jurídica;2022T2;777
Total;;Persona jurídica;2022T1;1.156
Total;;Persona jurídica;2021T4;1.249
Total;;Persona jurídica;2021T3;1.181
Total;;Persona jurídica;2021T2;1.856
Total;;Persona jurídica;2021T1;1.270
Total;;Persona jurídica;2020T4;1.902
Total;;Persona jurídica;2020T3;2.378
Total;;Persona jurídica;2020T2;1.697
Total;;Persona jurídica;2020T1;3.251
Total;;Persona jurídica;2019T4;4.144
Total;;Persona jurídica;2019T3;4.393
Total;;Persona jurídica;2019T2;6.082
Total;;Persona jurídica;2019T1;5.487
Total;;Persona jurídica;2018T4;5.128
Total;;Persona jurídica;2018T3;3.248
Total;;Persona jurídica;2018T2;4.722
Total;;Persona jurídica;2018T1;4.108
Total;;Persona jurídica;2017T4;3.539
Total;;Persona jurídica;2017T3;2.621
Total;;Persona jurídica;2017T2;3.561
Total;;Persona jurídica;2017T1;3.576
Total;;Persona jurídica;2016T4;3.845
Total;;Persona jurídica;2016T3;2.936
Total;;Persona jurídica;2016T2;3.914
Total;;Persona jurídica;2016T1;3.404
Total;;Persona jurídica;2015T4;4.365
Total;;Persona jurídica;2015T3;4.020
Total;;Persona jurídica;2015T2;6.032
Total;;Persona jurídica;2015T1;6.464
Total;;Persona jurídica;2014T4;6.823
Total;;Persona jurídica;2014T3;4.926
Total;;Persona jurídica;2014T2;6.817
Total;;Persona jurídica;2014T1;6.917
Total;01 Andalucía;Total;2024T2;695
Total;01 Andalucía;Total;2024T1;686
Total;01 Andalucía;Total;2023T4;804
Total;01 Andalucía;Total;2023T3;624
Total;01 Andalucía;Total;2023T2;980
Total;01 Andalucía;Total;2023T1;1.031
Total;01 Andalucía;Total;2022T4;1.133
Total;01 Andalucía;Total;2022T3;747
Total;01 Andalucía;Total;2022T2;1.081
