Tipo de vivienda;Periodo;Total
Vivienda principal;2024T2;2.247
Vivienda principal;2024T1;2.394
Vivienda principal;2023T4;2.297
Vivienda principal;2023T3;1.738
Vivienda principal;2023T2;2.723
Vivienda principal;2023T1;3.017
Vivienda principal;2022T4;3.041
Vivienda principal;2022T3;2.060
Vivienda principal;2022T2;3.210
Vivienda principal;2022T1;3.402
Vivienda principal;2021T4;3.311
Vivienda principal;2021T3;2.345
Vivienda principal;2021T2;3.300
Vivienda principal;2021T1;3.210
Vivienda principal;2020T4;3.082
Vivienda principal;2020T3;1.846
Vivienda principal;2020T2;918
Vivienda principal;2020T1;1.742
Vivienda principal;2019T4;1.438
Vivienda principal;2019T3;990
Vivienda principal;2019T2;1.407
Vivienda principal;2019T1;1.526
Vivienda principal;2018T4;1.575
Vivienda principal;2018T3;1.204
Vivienda principal;2018T2;1.787
Vivienda principal;2018T1;2.052
Vivienda principal;2017T4;2.181
Vivienda principal;2017T3;1.622
Vivienda principal;2017T2;2.850
Vivienda principal;2017T1;4.339
Vivienda principal;2016T4;4.696
Vivienda principal;2016T3;3.941
Vivienda principal;2016T2;6.448
Vivienda principal;2016T1;6.162
Vivienda principal;2015T4;6.932
Vivienda principal;2015T3;6.007
Vivienda principal;2015T2;8.666
Vivienda principal;2015T1;8.890
Vivienda principal;2014T4;8.961
Vivienda principal;2014T3;6.806
Vivienda principal;2014T2;9.659
Vivienda principal;2014T1;9.454
