Tipo de transmitiente;Tipo de titular;Periodo;Total
Persona física;Persona física;2024M08;72,6
Persona física;Persona física;2024M07;72,5
Persona física;Persona física;2024M06;70,8
Persona física;Persona física;2024M05;71
Persona física;Persona física;2024M04;69,2
Persona física;Persona física;2024M03;66,8
Persona física;Persona física;2024M02;65,6
Persona física;Persona física;2024M01;67,5
Persona física;Persona física;2023M12;69,1
Persona física;Persona física;2023M11;68,9
Persona física;Persona física;2023M10;69,4
Persona física;Persona física;2023M09;69,8
Persona física;Persona física;2023M08;68,4
Persona física;Persona física;2023M07;68,7
Persona física;Persona física;2023M06;68,9
Persona física;Persona física;2023M05;68,8
Persona física;Persona física;2023M04;68,3
Persona física;Persona física;2023M03;67,9
Persona física;Persona física;2023M02;67,2
Persona física;Persona física;2023M01;68,5
Persona física;Persona física;2022M12;70,2
Persona física;Persona física;2022M11;70,4
Persona física;Persona física;2022M10;69,6
Persona física;Persona física;2022M09;69,9
Persona física;Persona física;2022M08;68,9
Persona física;Persona física;2022M07;69,9
Persona física;Persona física;2022M06;71,7
Persona física;Persona física;2022M05;69,1
Persona física;Persona física;2022M04;69,7
Persona física;Persona física;2022M03;69,5
Persona física;Persona física;2022M02;66,7
Persona física;Persona física;2022M01;69,2
Persona física;Persona física;2021M12;70,4
Persona física;Persona física;2021M11;70,1
Persona física;Persona física;2021M10;70,9
Persona física;Persona física;2021M09;69,9
Persona física;Persona física;2021M08;70,9
Persona física;Persona física;2021M07;70,1
Persona física;Persona física;2021M06;70,7
Persona física;Persona física;2021M05;69,4
Persona física;Persona física;2021M04;69
Persona física;Persona física;2021M03;68,1
Persona física;Persona física;2021M02;64,8
Persona física;Persona física;2021M01;67
Persona física;Persona física;2020M12;70
Persona física;Persona física;2020M11;69,6
Persona física;Persona física;2020M10;68,9
Persona física;Persona física;2020M09;66,3
Persona física;Persona física;2020M08;65,6
Persona física;Persona física;2020M07;66,6
Persona física;Persona física;2020M06;69,8
Persona física;Persona física;2020M05;69,4
Persona física;Persona física;2020M04;69,1
