Total Nacional;Distritos;Tipo de dato;Periodo;Total
Total Nacional;;Índice;2022;115,684
Total Nacional;;Índice;2021;112,694
Total Nacional;;Índice;2020;110,942
Total Nacional;;Índice;2019;109,999
Total Nacional;;Índice;2018;106,247
Total Nacional;;Índice;2017;103,528
Total Nacional;;Índice;2016;101,681
Total Nacional;;Índice;2015;100
Total Nacional;;Índice;2014;99,741
Total Nacional;;Índice;2013;100,493
Total Nacional;;Índice;2012;103,193
Total Nacional;;Índice;2011;104,761
Total Nacional;;Variación anual;2022;2,7
Total Nacional;;Variación anual;2021;1,6
Total Nacional;;Variación anual;2020;0,9
Total Nacional;;Variación anual;2019;3,5
Total Nacional;;Variación anual;2018;2,6
Total Nacional;;Variación anual;2017;1,8
Total Nacional;;Variación anual;2016;1,7
Total Nacional;;Variación anual;2015;0,3
Total Nacional;;Variación anual;2014;-0,7
Total Nacional;;Variación anual;2013;-2,6
Total Nacional;;Variación anual;2012;-1,5
Total Nacional;;Variación anual;2011;..
Total Nacional;0200301 Albacete distrito 01;Índice;2022;114,608
Total Nacional;0200301 Albacete distrito 01;Índice;2021;111,481
Total Nacional;0200301 Albacete distrito 01;Índice;2020;109,153
Total Nacional;0200301 Albacete distrito 01;Índice;2019;108,127
Total Nacional;0200301 Albacete distrito 01;Índice;2018;105,4
Total Nacional;0200301 Albacete distrito 01;Índice;2017;103,027
Total Nacional;0200301 Albacete distrito 01;Índice;2016;101,621
Total Nacional;0200301 Albacete distrito 01;Índice;2015;100
Total Nacional;0200301 Albacete distrito 01;Índice;2014;100,589
Total Nacional;0200301 Albacete distrito 01;Índice;2013;101,613
Total Nacional;0200301 Albacete distrito 01;Índice;2012;103,653
Total Nacional;0200301 Albacete distrito 01;Índice;2011;106,192
Total Nacional;0200301 Albacete distrito 01;Variación anual;2022;2,8
Total Nacional;0200301 Albacete distrito 01;Variación anual;2021;2,1
Total Nacional;0200301 Albacete distrito 01;Variación anual;2020;0,9
Total Nacional;0200301 Albacete distrito 01;Variación anual;2019;2,6
Total Nacional;0200301 Albacete distrito 01;Variación anual;2018;2,3
Total Nacional;0200301 Albacete distrito 01;Variación anual;2017;1,4
Total Nacional;0200301 Albacete distrito 01;Variación anual;2016;1,6
Total Nacional;0200301 Albacete distrito 01;Variación anual;2015;-0,6
Total Nacional;0200301 Albacete distrito 01;Variación anual;2014;-1
Total Nacional;0200301 Albacete distrito 01;Variación anual;2013;-2
Total Nacional;0200301 Albacete distrito 01;Variación anual;2012;-2,4
Total Nacional;0200301 Albacete distrito 01;Variación anual;2011;..
Total Nacional;0200302 Albacete distrito 02;Índice;2022;113,547
Total Nacional;0200302 Albacete distrito 02;Índice;2021;110,856
Total Nacional;0200302 Albacete distrito 02;Índice;2020;108,577
Total Nacional;0200302 Albacete distrito 02;Índice;2019;107,36
Total Nacional;0200302 Albacete distrito 02;Índice;2018;104,286
Total Nacional;0200302 Albacete distrito 02;Índice;2017;102,977
Total Nacional;0200302 Albacete distrito 02;Índice;2016;101,765
Total Nacional;0200302 Albacete distrito 02;Índice;2015;100
Total Nacional;0200302 Albacete distrito 02;Índice;2014;100,399
Total Nacional;0200302 Albacete distrito 02;Índice;2013;103,152
Total Nacional;0200302 Albacete distrito 02;Índice;2012;106,189
Total Nacional;0200302 Albacete distrito 02;Índice;2011;109,441
Total Nacional;0200302 Albacete distrito 02;Variación anual;2022;2,4
Total Nacional;0200302 Albacete distrito 02;Variación anual;2021;2,1
Total Nacional;0200302 Albacete distrito 02;Variación anual;2020;1,1
Total Nacional;0200302 Albacete distrito 02;Variación anual;2019;2,9
Total Nacional;0200302 Albacete distrito 02;Variación anual;2018;1,3
Total Nacional;0200302 Albacete distrito 02;Variación anual;2017;1,2
Total Nacional;0200302 Albacete distrito 02;Variación anual;2016;1,8
Total Nacional;0200302 Albacete distrito 02;Variación anual;2015;-0,4
Total Nacional;0200302 Albacete distrito 02;Variación anual;2014;-2,7
Total Nacional;0200302 Albacete distrito 02;Variación anual;2013;-2,9
Total Nacional;0200302 Albacete distrito 02;Variación anual;2012;-3
Total Nacional;0200302 Albacete distrito 02;Variación anual;2011;..
Total Nacional;0200303 Albacete distrito 03;Índice;2022;113,046
Total Nacional;0200303 Albacete distrito 03;Índice;2021;110,165
Total Nacional;0200303 Albacete distrito 03;Índice;2020;106,86
Total Nacional;0200303 Albacete distrito 03;Índice;2019;106,685
Total Nacional;0200303 Albacete distrito 03;Índice;2018;104,621
Total Nacional;0200303 Albacete distrito 03;Índice;2017;102,832
Total Nacional;0200303 Albacete distrito 03;Índice;2016;101,36
Total Nacional;0200303 Albacete distrito 03;Índice;2015;100
Total Nacional;0200303 Albacete distrito 03;Índice;2014;101,65
Total Nacional;0200303 Albacete distrito 03;Índice;2013;103,686
Total Nacional;0200303 Albacete distrito 03;Índice;2012;106,298
Total Nacional;0200303 Albacete distrito 03;Índice;2011;108,954
Total Nacional;0200303 Albacete distrito 03;Variación anual;2022;2,6
Total Nacional;0200303 Albacete distrito 03;Variación anual;2021;3,1
Total Nacional;0200303 Albacete distrito 03;Variación anual;2020;0,2
Total Nacional;0200303 Albacete distrito 03;Variación anual;2019;2
Total Nacional;0200303 Albacete distrito 03;Variación anual;2018;1,7
Total Nacional;0200303 Albacete distrito 03;Variación anual;2017;1,5
Total Nacional;0200303 Albacete distrito 03;Variación anual;2016;1,4
Total Nacional;0200303 Albacete distrito 03;Variación anual;2015;-1,6
Total Nacional;0200303 Albacete distrito 03;Variación anual;2014;-2
Total Nacional;0200303 Albacete distrito 03;Variación anual;2013;-2,5
Total Nacional;0200303 Albacete distrito 03;Variación anual;2012;-2,4
Total Nacional;0200303 Albacete distrito 03;Variación anual;2011;..
Total Nacional;0200304 Albacete distrito 04;Índice;2022;108,506
Total Nacional;0200304 Albacete distrito 04;Índice;2021;107,153
Total Nacional;0200304 Albacete distrito 04;Índice;2020;..
Total Nacional;0200304 Albacete distrito 04;Índice;2019;..
Total Nacional;0200304 Albacete distrito 04;Índice;2018;..
Total Nacional;0200304 Albacete distrito 04;Índice;2017;..
Total Nacional;0200304 Albacete distrito 04;Índice;2016;..
Total Nacional;0200304 Albacete distrito 04;Índice;2015;..
Total Nacional;0200304 Albacete distrito 04;Índice;2014;..
Total Nacional;0200304 Albacete distrito 04;Índice;2013;..
Total Nacional;0200304 Albacete distrito 04;Índice;2012;..
Total Nacional;0200304 Albacete distrito 04;Índice;2011;..
Total Nacional;0200304 Albacete distrito 04;Variación anual;2022;1,3
Total Nacional;0200304 Albacete distrito 04;Variación anual;2021;1,6
Total Nacional;0200304 Albacete distrito 04;Variación anual;2020;..
Total Nacional;0200304 Albacete distrito 04;Variación anual;2019;..
Total Nacional;0200304 Albacete distrito 04;Variación anual;2018;..
Total Nacional;0200304 Albacete distrito 04;Variación anual;2017;..
Total Nacional;0200304 Albacete distrito 04;Variación anual;2016;..
Total Nacional;0200304 Albacete distrito 04;Variación anual;2015;..
Total Nacional;0200304 Albacete distrito 04;Variación anual;2014;..
Total Nacional;0200304 Albacete distrito 04;Variación anual;2013;..
Total Nacional;0200304 Albacete distrito 04;Variación anual;2012;..
Total Nacional;0200304 Albacete distrito 04;Variación anual;2011;..
Total Nacional;0200305 Albacete distrito 05;Índice;2022;112,092
Total Nacional;0200305 Albacete distrito 05;Índice;2021;109,85
Total Nacional;0200305 Albacete distrito 05;Índice;2020;106,98
Total Nacional;0200305 Albacete distrito 05;Índice;2019;106,458
Total Nacional;0200305 Albacete distrito 05;Índice;2018;104,545
Total Nacional;0200305 Albacete distrito 05;Índice;2017;102,341
Total Nacional;0200305 Albacete distrito 05;Índice;2016;101,769
Total Nacional;0200305 Albacete distrito 05;Índice;2015;100
Total Nacional;0200305 Albacete distrito 05;Índice;2014;101,401
Total Nacional;0200305 Albacete distrito 05;Índice;2013;102,648
Total Nacional;0200305 Albacete distrito 05;Índice;2012;106,37
Total Nacional;0200305 Albacete distrito 05;Índice;2011;110,467
Total Nacional;0200305 Albacete distrito 05;Variación anual;2022;2
Total Nacional;0200305 Albacete distrito 05;Variación anual;2021;2,7
Total Nacional;0200305 Albacete distrito 05;Variación anual;2020;0,5
Total Nacional;0200305 Albacete distrito 05;Variación anual;2019;1,8
Total Nacional;0200305 Albacete distrito 05;Variación anual;2018;2,2
Total Nacional;0200305 Albacete distrito 05;Variación anual;2017;0,6
Total Nacional;0200305 Albacete distrito 05;Variación anual;2016;1,8
Total Nacional;0200305 Albacete distrito 05;Variación anual;2015;-1,4
Total Nacional;0200305 Albacete distrito 05;Variación anual;2014;-1,2
Total Nacional;0200305 Albacete distrito 05;Variación anual;2013;-3,5
Total Nacional;0200305 Albacete distrito 05;Variación anual;2012;-3,7
Total Nacional;0200305 Albacete distrito 05;Variación anual;2011;..
Total Nacional;0200306 Albacete distrito 06;Índice;2022;113,899
Total Nacional;0200306 Albacete distrito 06;Índice;2021;110,629
Total Nacional;0200306 Albacete distrito 06;Índice;2020;107,105
Total Nacional;0200306 Albacete distrito 06;Índice;2019;106,479
Total Nacional;0200306 Albacete distrito 06;Índice;2018;103,424
Total Nacional;0200306 Albacete distrito 06;Índice;2017;102,335
Total Nacional;0200306 Albacete distrito 06;Índice;2016;101,687
Total Nacional;0200306 Albacete distrito 06;Índice;2015;100
Total Nacional;0200306 Albacete distrito 06;Índice;2014;101,262
Total Nacional;0200306 Albacete distrito 06;Índice;2013;101,988
Total Nacional;0200306 Albacete distrito 06;Índice;2012;105,988
Total Nacional;0200306 Albacete distrito 06;Índice;2011;108,249
