Edad simple;Provincias;Sexo;Periodo;Total
Todas las edades;Total Nacional;Total;1 de enero de 2023;48.085.361
Todas las edades;Total Nacional;Total;1 de octubre de 2022;47.940.295
Todas las edades;Total Nacional;Total;1 de julio de 2022;47.781.354
Todas las edades;Total Nacional;Total;1 de abril de 2022;47.609.145
Todas las edades;Total Nacional;Total;1 de enero de 2022;47.486.727
Todas las edades;Total Nacional;Total;1 de octubre de 2021;47.424.595
Todas las edades;Total Nacional;Total;1 de julio de 2021;47.346.836
Todas las edades;Total Nacional;Total;1 de abril de 2021;47.356.065
Todas las edades;Total Nacional;Total;1 de enero de 2021;47.400.798
Todas las edades;Total Nacional;Total;1 de octubre de 2020;""
Todas las edades;Total Nacional;Total;1 de julio de 2020;47.344.852
Todas las edades;Total Nacional;Total;1 de abril de 2020;""
Todas las edades;Total Nacional;Total;1 de enero de 2020;47.318.050
Todas las edades;Total Nacional;Total;1 de octubre de 2019;""
Todas las edades;Total Nacional;Total;1 de julio de 2019;47.087.778
Todas las edades;Total Nacional;Total;1 de abril de 2019;""
Todas las edades;Total Nacional;Total;1 de enero de 2019;46.918.951
Todas las edades;Total Nacional;Total;1 de octubre de 2018;""
Todas las edades;Total Nacional;Total;1 de julio de 2018;46.715.383
Todas las edades;Total Nacional;Total;1 de abril de 2018;""
Todas las edades;Total Nacional;Total;1 de enero de 2018;46.645.070
Todas las edades;Total Nacional;Total;1 de octubre de 2017;""
Todas las edades;Total Nacional;Total;1 de julio de 2017;46.510.461
Todas las edades;Total Nacional;Total;1 de abril de 2017;""
Todas las edades;Total Nacional;Total;1 de enero de 2017;46.497.393
Todas las edades;Total Nacional;Total;1 de octubre de 2016;""
Todas las edades;Total Nacional;Total;1 de julio de 2016;46.427.100
Todas las edades;Total Nacional;Total;1 de abril de 2016;""
Todas las edades;Total Nacional;Total;1 de enero de 2016;46.418.884
Todas las edades;Total Nacional;Total;1 de octubre de 2015;""
Todas las edades;Total Nacional;Total;1 de julio de 2015;46.384.379
Todas las edades;Total Nacional;Total;1 de abril de 2015;""
Todas las edades;Total Nacional;Total;1 de enero de 2015;46.425.722
Todas las edades;Total Nacional;Total;1 de octubre de 2014;""
Todas las edades;Total Nacional;Total;1 de julio de 2014;46.433.050
Todas las edades;Total Nacional;Total;1 de abril de 2014;""
Todas las edades;Total Nacional;Total;1 de enero de 2014;46.495.744
Todas las edades;Total Nacional;Total;1 de octubre de 2013;""
Todas las edades;Total Nacional;Total;1 de julio de 2013;46.581.124
Todas las edades;Total Nacional;Total;1 de abril de 2013;""
Todas las edades;Total Nacional;Total;1 de enero de 2013;46.712.650
Todas las edades;Total Nacional;Total;1 de octubre de 2012;""
Todas las edades;Total Nacional;Total;1 de julio de 2012;46.749.303
Todas las edades;Total Nacional;Total;1 de abril de 2012;""
Todas las edades;Total Nacional;Total;1 de enero de 2012;46.818.216
Todas las edades;Total Nacional;Total;1 de octubre de 2011;""
Todas las edades;Total Nacional;Total;1 de julio de 2011;46.736.257
Todas las edades;Total Nacional;Total;1 de abril de 2011;""
Todas las edades;Total Nacional;Total;1 de enero de 2011;46.667.175
Todas las edades;Total Nacional;Total;1 de octubre de 2010;""
Todas las edades;Total Nacional;Total;1 de julio de 2010;46.562.483
Todas las edades;Total Nacional;Total;1 de abril de 2010;""
Todas las edades;Total Nacional;Total;1 de enero de 2010;46.486.621
Todas las edades;Total Nacional;Total;1 de octubre de 2009;""
Todas las edades;Total Nacional;Total;1 de julio de 2009;46.367.550
Todas las edades;Total Nacional;Total;1 de abril de 2009;""
Todas las edades;Total Nacional;Total;1 de enero de 2009;46.239.271
Todas las edades;Total Nacional;Total;1 de octubre de 2008;""
Todas las edades;Total Nacional;Total;1 de julio de 2008;45.983.169
Todas las edades;Total Nacional;Total;1 de abril de 2008;""
Todas las edades;Total Nacional;Total;1 de enero de 2008;45.668.938
Todas las edades;Total Nacional;Total;1 de octubre de 2007;""
Todas las edades;Total Nacional;Total;1 de julio de 2007;45.236.004
Todas las edades;Total Nacional;Total;1 de abril de 2007;""
Todas las edades;Total Nacional;Total;1 de enero de 2007;44.784.659
Todas las edades;Total Nacional;Total;1 de octubre de 2006;""
Todas las edades;Total Nacional;Total;1 de julio de 2006;44.360.521
