Provincias;Sexo;Periodo;Total
Total;Total;2021;47.385.107
Total;Total;2020;47.450.795
Total;Total;2019;47.026.208
Total;Total;2018;46.722.980
Total;Total;2017;46.572.132
Total;Total;2016;46.557.008
Total;Total;2015;46.624.382
Total;Total;2014;46.771.341
Total;Total;2013;47.129.783
Total;Total;2012;47.265.321
Total;Total;2011;47.190.493
Total;Total;2010;47.021.031
Total;Total;2009;46.745.807
Total;Total;2008;46.157.822
Total;Total;2007;45.200.737
Total;Total;2006;44.708.964
Total;Total;2005;44.108.530
Total;Total;2004;43.197.684
Total;Total;2003;42.717.064
Total;Total;2002;41.837.894
Total;Total;2001;41.116.842
Total;Total;2000;40.499.791
Total;Total;1999;40.202.160
Total;Total;1998;39.852.651
Total;Total;1997;""
Total;Total;1996;39.669.394
02 Albacete;Total;2021;386.464
02 Albacete;Total;2020;388.270
02 Albacete;Total;2019;388.167
02 Albacete;Total;2018;388.786
02 Albacete;Total;2017;390.032
02 Albacete;Total;2016;392.118
02 Albacete;Total;2015;394.580
02 Albacete;Total;2014;396.987
02 Albacete;Total;2013;400.007
02 Albacete;Total;2012;402.837
02 Albacete;Total;2011;402.318
02 Albacete;Total;2010;401.682
02 Albacete;Total;2009;400.891
02 Albacete;Total;2008;397.493
02 Albacete;Total;2007;392.110
02 Albacete;Total;2006;387.658
02 Albacete;Total;2005;384.640
02 Albacete;Total;2004;379.448
02 Albacete;Total;2003;376.556
02 Albacete;Total;2002;371.787
02 Albacete;Total;2001;367.283
02 Albacete;Total;2000;363.263
02 Albacete;Total;1999;361.021
02 Albacete;Total;1998;358.597
02 Albacete;Total;1997;""
02 Albacete;Total;1996;359.010
03 Alicante/Alacant;Total;2021;1.881.762
03 Alicante/Alacant;Total;2020;1.879.888
03 Alicante/Alacant;Total;2019;1.858.683
03 Alicante/Alacant;Total;2018;1.838.819
03 Alicante/Alacant;Total;2017;1.825.332
03 Alicante/Alacant;Total;2016;1.836.459
03 Alicante/Alacant;Total;2015;1.855.047
03 Alicante/Alacant;Total;2014;1.868.438
03 Alicante/Alacant;Total;2013;1.945.642
03 Alicante/Alacant;Total;2012;1.943.910
03 Alicante/Alacant;Total;2011;1.934.127
03 Alicante/Alacant;Total;2010;1.926.285
03 Alicante/Alacant;Total;2009;1.917.012
03 Alicante/Alacant;Total;2008;1.891.477
03 Alicante/Alacant;Total;2007;1.825.264
03 Alicante/Alacant;Total;2006;1.783.555
03 Alicante/Alacant;Total;2005;1.732.389
03 Alicante/Alacant;Total;2004;1.657.040
03 Alicante/Alacant;Total;2003;1.632.349
03 Alicante/Alacant;Total;2002;1.557.968
03 Alicante/Alacant;Total;2001;1.490.265
03 Alicante/Alacant;Total;2000;1.445.144
03 Alicante/Alacant;Total;1999;1.410.946
03 Alicante/Alacant;Total;1998;1.388.933
03 Alicante/Alacant;Total;1997;""
03 Alicante/Alacant;Total;1996;1.379.762
04 Almería;Total;2021;731.792
04 Almería;Total;2020;727.945
04 Almería;Total;2019;716.820
04 Almería;Total;2018;709.340
04 Almería;Total;2017;706.672
04 Almería;Total;2016;704.297
04 Almería;Total;2015;701.211
04 Almería;Total;2014;701.688
04 Almería;Total;2013;699.329
04 Almería;Total;2012;704.219
04 Almería;Total;2011;702.819
04 Almería;Total;2010;695.560
04 Almería;Total;2009;684.426
04 Almería;Total;2008;667.635
04 Almería;Total;2007;646.633
04 Almería;Total;2006;635.850
04 Almería;Total;2005;612.315
04 Almería;Total;2004;580.077
04 Almería;Total;2003;565.310
04 Almería;Total;2002;546.498
04 Almería;Total;2001;533.168
04 Almería;Total;2000;518.229
04 Almería;Total;1999;512.843
04 Almería;Total;1998;505.448
04 Almería;Total;1997;""
04 Almería;Total;1996;501.761
01 Araba/Álava;Total;2021;333.626
01 Araba/Álava;Total;2020;333.940
01 Araba/Álava;Total;2019;331.549
01 Araba/Álava;Total;2018;328.868
01 Araba/Álava;Total;2017;326.574
01 Araba/Álava;Total;2016;324.126
01 Araba/Álava;Total;2015;323.648
01 Araba/Álava;Total;2014;321.932
01 Araba/Álava;Total;2013;321.417
01 Araba/Álava;Total;2012;322.557
01 Araba/Álava;Total;2011;319.227
01 Araba/Álava;Total;2010;317.352
01 Araba/Álava;Total;2009;313.819
01 Araba/Álava;Total;2008;309.635
01 Araba/Álava;Total;2007;305.459
01 Araba/Álava;Total;2006;301.926
01 Araba/Álava;Total;2005;299.957
01 Araba/Álava;Total;2004;295.905
01 Araba/Álava;Total;2003;294.360
01 Araba/Álava;Total;2002;291.860
01 Araba/Álava;Total;2001;288.793
01 Araba/Álava;Total;2000;286.497
01 Araba/Álava;Total;1999;285.748
01 Araba/Álava;Total;1998;284.595
01 Araba/Álava;Total;1997;""
01 Araba/Álava;Total;1996;281.821
33 Asturias;Total;2021;1.011.792
33 Asturias;Total;2020;1.018.784
33 Asturias;Total;2019;1.022.800
33 Asturias;Total;2018;1.028.244
33 Asturias;Total;2017;1.034.960
33 Asturias;Total;2016;1.042.608
33 Asturias;Total;2015;1.051.229
33 Asturias;Total;2014;1.061.756
33 Asturias;Total;2013;1.068.165
33 Asturias;Total;2012;1.077.360
33 Asturias;Total;2011;1.081.487
33 Asturias;Total;2010;1.084.341
33 Asturias;Total;2009;1.085.289
33 Asturias;Total;2008;1.080.138
33 Asturias;Total;2007;1.074.862
33 Asturias;Total;2006;1.076.896
33 Asturias;Total;2005;1.076.635
33 Asturias;Total;2004;1.073.761
33 Asturias;Total;2003;1.075.381
