Provincias	Establecimientos y personal empleado (plazas)	Periodo	Total
02 Albacete	Número de apartamentos estimados	2024M09	167
02 Albacete	Número de apartamentos estimados	2024M08	171
02 Albacete	Número de apartamentos estimados	2024M07	412
02 Albacete	Número de apartamentos estimados	2024M06	179
02 Albacete	Número de apartamentos estimados	2024M05	163
02 Albacete	Número de apartamentos estimados	2024M04	176
02 Albacete	Número de apartamentos estimados	2024M03	191
02 Albacete	Número de apartamentos estimados	2024M02	106
02 Albacete	Número de apartamentos estimados	2024M01	106
02 Albacete	Número de apartamentos estimados	2023M12	176
02 Albacete	Número de apartamentos estimados	2023M11	170
02 Albacete	Número de apartamentos estimados	2023M10	178
02 Albacete	Número de apartamentos estimados	2023M09	166
02 Albacete	Número de apartamentos estimados	2023M08	162
02 Albacete	Número de apartamentos estimados	2023M07	177
02 Albacete	Número de apartamentos estimados	2023M06	179
02 Albacete	Número de apartamentos estimados	2023M05	180
02 Albacete	Número de apartamentos estimados	2023M04	182
02 Albacete	Número de apartamentos estimados	2023M03	177
02 Albacete	Número de apartamentos estimados	2023M02	128
02 Albacete	Número de apartamentos estimados	2023M01	128
02 Albacete	Número de apartamentos estimados	2022M12	161
02 Albacete	Número de apartamentos estimados	2022M11	161
02 Albacete	Número de apartamentos estimados	2022M10	164
02 Albacete	Número de apartamentos estimados	2022M09	152
02 Albacete	Número de apartamentos estimados	2022M08	156
02 Albacete	Número de apartamentos estimados	2022M07	156
02 Albacete	Número de apartamentos estimados	2022M06	165
02 Albacete	Número de apartamentos estimados	2022M05	171
02 Albacete	Número de apartamentos estimados	2022M04	171
02 Albacete	Número de apartamentos estimados	2022M03	166
02 Albacete	Número de apartamentos estimados	2022M02	162
02 Albacete	Número de apartamentos estimados	2022M01	111
02 Albacete	Número de apartamentos estimados	2021M12	.
02 Albacete	Número de apartamentos estimados	2021M11	.
02 Albacete	Número de apartamentos estimados	2021M10	185
02 Albacete	Número de apartamentos estimados	2021M09	184
02 Albacete	Número de apartamentos estimados	2021M08	185
02 Albacete	Número de apartamentos estimados	2021M07	173
02 Albacete	Número de apartamentos estimados	2021M06	159
02 Albacete	Número de apartamentos estimados	2021M05	162
02 Albacete	Número de apartamentos estimados	2021M04	156
02 Albacete	Número de apartamentos estimados	2021M03	105
02 Albacete	Número de apartamentos estimados	2021M02	77
02 Albacete	Número de apartamentos estimados	2021M01	.
02 Albacete	Número de apartamentos estimados	2020M12	138
02 Albacete	Número de apartamentos estimados	2020M11	139
02 Albacete	Número de apartamentos estimados	2020M10	146
02 Albacete	Número de apartamentos estimados	2020M09	152
02 Albacete	Número de apartamentos estimados	2020M08	150
02 Albacete	Número de apartamentos estimados	2020M07	144
02 Albacete	Número de apartamentos estimados	2020M06	127
02 Albacete	Número de apartamentos estimados	2020M05	.
02 Albacete	Número de apartamentos estimados	2020M04	0
02 Albacete	Número de apartamentos estimados	2020M03	111
02 Albacete	Número de apartamentos estimados	2020M02	163
02 Albacete	Número de apartamentos estimados	2020M01	106
02 Albacete	Número de apartamentos estimados	2019M12	171
02 Albacete	Número de apartamentos estimados	2019M11	173
02 Albacete	Número de apartamentos estimados	2019M10	176
02 Albacete	Número de apartamentos estimados	2019M09	194
02 Albacete	Número de apartamentos estimados	2019M08	193
02 Albacete	Número de apartamentos estimados	2019M07	188
02 Albacete	Número de apartamentos estimados	2019M06	194
02 Albacete	Número de apartamentos estimados	2019M05	195
02 Albacete	Número de apartamentos estimados	2019M04	194
02 Albacete	Número de apartamentos estimados	2019M03	165
02 Albacete	Número de apartamentos estimados	2019M02	105
02 Albacete	Número de apartamentos estimados	2019M01	94
02 Albacete	Número de apartamentos estimados	2018M12	174
02 Albacete	Número de apartamentos estimados	2018M11	172
02 Albacete	Número de apartamentos estimados	2018M10	181
02 Albacete	Número de apartamentos estimados	2018M09	168
02 Albacete	Número de apartamentos estimados	2018M08	177
02 Albacete	Número de apartamentos estimados	2018M07	175
02 Albacete	Número de apartamentos estimados	2018M06	172
02 Albacete	Número de apartamentos estimados	2018M05	161
02 Albacete	Número de apartamentos estimados	2018M04	165
02 Albacete	Número de apartamentos estimados	2018M03	163
02 Albacete	Número de apartamentos estimados	2018M02	118
02 Albacete	Número de apartamentos estimados	2018M01	119
02 Albacete	Número de apartamentos estimados	2017M12	191
02 Albacete	Número de apartamentos estimados	2017M11	188
02 Albacete	Número de apartamentos estimados	2017M10	178
02 Albacete	Número de apartamentos estimados	2017M09	191
02 Albacete	Número de apartamentos estimados	2017M08	181
02 Albacete	Número de apartamentos estimados	2017M07	180
02 Albacete	Número de apartamentos estimados	2017M06	177
02 Albacete	Número de apartamentos estimados	2017M05	169
02 Albacete	Número de apartamentos estimados	2017M04	177
02 Albacete	Número de apartamentos estimados	2017M03	168
02 Albacete	Número de apartamentos estimados	2017M02	95
02 Albacete	Número de apartamentos estimados	2017M01	97
02 Albacete	Número de apartamentos estimados	2016M12	155
02 Albacete	Número de apartamentos estimados	2016M11	155
02 Albacete	Número de apartamentos estimados	2016M10	155
02 Albacete	Número de apartamentos estimados	2016M09	158
02 Albacete	Número de apartamentos estimados	2016M08	151
02 Albacete	Número de apartamentos estimados	2016M07	151
02 Albacete	Número de apartamentos estimados	2016M06	154
02 Albacete	Número de apartamentos estimados	2016M05	152
02 Albacete	Número de apartamentos estimados	2016M04	148
02 Albacete	Número de apartamentos estimados	2016M03	148
02 Albacete	Número de apartamentos estimados	2016M02	148
02 Albacete	Número de apartamentos estimados	2016M01	148
02 Albacete	Número de apartamentos estimados	2015M12	138
02 Albacete	Número de apartamentos estimados	2015M11	142
02 Albacete	Número de apartamentos estimados	2015M10	152
02 Albacete	Número de apartamentos estimados	2015M09	154
02 Albacete	Número de apartamentos estimados	2015M08	158
02 Albacete	Número de apartamentos estimados	2015M07	156
02 Albacete	Número de apartamentos estimados	2015M06	151
02 Albacete	Número de apartamentos estimados	2015M05	146
02 Albacete	Número de apartamentos estimados	2015M04	137
02 Albacete	Número de apartamentos estimados	2015M03	145
02 Albacete	Número de apartamentos estimados	2015M02	141
02 Albacete	Número de apartamentos estimados	2015M01	97
02 Albacete	Número de apartamentos estimados	2014M12	145
02 Albacete	Número de apartamentos estimados	2014M11	152
02 Albacete	Número de apartamentos estimados	2014M10	153
02 Albacete	Número de apartamentos estimados	2014M09	152
02 Albacete	Número de apartamentos estimados	2014M08	153
02 Albacete	Número de apartamentos estimados	2014M07	159
02 Albacete	Número de apartamentos estimados	2014M06	155
02 Albacete	Número de apartamentos estimados	2014M05	147
02 Albacete	Número de apartamentos estimados	2014M04	146
02 Albacete	Número de apartamentos estimados	2014M03	144
02 Albacete	Número de apartamentos estimados	2014M02	101
02 Albacete	Número de apartamentos estimados	2014M01	94
02 Albacete	Número de apartamentos estimados	2013M12	""
02 Albacete	Número de apartamentos estimados	2013M11	""
