Provincias	Establecimientos y personal empleado (plazas)	Periodo	Total
02 Albacete	Número de plazas estimadas	2024M09	737
02 Albacete	Número de plazas estimadas	2024M08	774
02 Albacete	Número de plazas estimadas	2024M07	1.484
02 Albacete	Número de plazas estimadas	2024M06	661
02 Albacete	Número de plazas estimadas	2024M05	724
02 Albacete	Número de plazas estimadas	2024M04	798
02 Albacete	Número de plazas estimadas	2024M03	833
02 Albacete	Número de plazas estimadas	2024M02	424
02 Albacete	Número de plazas estimadas	2024M01	429
02 Albacete	Número de plazas estimadas	2023M12	734
02 Albacete	Número de plazas estimadas	2023M11	703
02 Albacete	Número de plazas estimadas	2023M10	750
02 Albacete	Número de plazas estimadas	2023M09	698
02 Albacete	Número de plazas estimadas	2023M08	677
02 Albacete	Número de plazas estimadas	2023M07	737
02 Albacete	Número de plazas estimadas	2023M06	744
02 Albacete	Número de plazas estimadas	2023M05	740
02 Albacete	Número de plazas estimadas	2023M04	753
02 Albacete	Número de plazas estimadas	2023M03	716
02 Albacete	Número de plazas estimadas	2023M02	488
02 Albacete	Número de plazas estimadas	2023M01	501
02 Albacete	Número de plazas estimadas	2022M12	650
02 Albacete	Número de plazas estimadas	2022M11	653
02 Albacete	Número de plazas estimadas	2022M10	671
02 Albacete	Número de plazas estimadas	2022M09	614
02 Albacete	Número de plazas estimadas	2022M08	638
02 Albacete	Número de plazas estimadas	2022M07	636
02 Albacete	Número de plazas estimadas	2022M06	651
02 Albacete	Número de plazas estimadas	2022M05	664
02 Albacete	Número de plazas estimadas	2022M04	675
02 Albacete	Número de plazas estimadas	2022M03	681
02 Albacete	Número de plazas estimadas	2022M02	660
02 Albacete	Número de plazas estimadas	2022M01	442
02 Albacete	Número de plazas estimadas	2021M12	.
02 Albacete	Número de plazas estimadas	2021M11	.
02 Albacete	Número de plazas estimadas	2021M10	738
02 Albacete	Número de plazas estimadas	2021M09	731
02 Albacete	Número de plazas estimadas	2021M08	746
02 Albacete	Número de plazas estimadas	2021M07	655
02 Albacete	Número de plazas estimadas	2021M06	673
02 Albacete	Número de plazas estimadas	2021M05	652
02 Albacete	Número de plazas estimadas	2021M04	619
02 Albacete	Número de plazas estimadas	2021M03	400
02 Albacete	Número de plazas estimadas	2021M02	290
02 Albacete	Número de plazas estimadas	2021M01	.
02 Albacete	Número de plazas estimadas	2020M12	625
02 Albacete	Número de plazas estimadas	2020M11	618
02 Albacete	Número de plazas estimadas	2020M10	653
02 Albacete	Número de plazas estimadas	2020M09	696
02 Albacete	Número de plazas estimadas	2020M08	683
02 Albacete	Número de plazas estimadas	2020M07	637
02 Albacete	Número de plazas estimadas	2020M06	562
02 Albacete	Número de plazas estimadas	2020M05	.
02 Albacete	Número de plazas estimadas	2020M04	0
02 Albacete	Número de plazas estimadas	2020M03	547
02 Albacete	Número de plazas estimadas	2020M02	737
02 Albacete	Número de plazas estimadas	2020M01	487
02 Albacete	Número de plazas estimadas	2019M12	780
02 Albacete	Número de plazas estimadas	2019M11	769
02 Albacete	Número de plazas estimadas	2019M10	788
02 Albacete	Número de plazas estimadas	2019M09	817
02 Albacete	Número de plazas estimadas	2019M08	803
02 Albacete	Número de plazas estimadas	2019M07	755
02 Albacete	Número de plazas estimadas	2019M06	806
02 Albacete	Número de plazas estimadas	2019M05	828
02 Albacete	Número de plazas estimadas	2019M04	824
02 Albacete	Número de plazas estimadas	2019M03	704
02 Albacete	Número de plazas estimadas	2019M02	450
02 Albacete	Número de plazas estimadas	2019M01	397
02 Albacete	Número de plazas estimadas	2018M12	772
02 Albacete	Número de plazas estimadas	2018M11	766
02 Albacete	Número de plazas estimadas	2018M10	790
02 Albacete	Número de plazas estimadas	2018M09	751
02 Albacete	Número de plazas estimadas	2018M08	768
02 Albacete	Número de plazas estimadas	2018M07	768
02 Albacete	Número de plazas estimadas	2018M06	754
02 Albacete	Número de plazas estimadas	2018M05	701
02 Albacete	Número de plazas estimadas	2018M04	724
02 Albacete	Número de plazas estimadas	2018M03	713
02 Albacete	Número de plazas estimadas	2018M02	574
02 Albacete	Número de plazas estimadas	2018M01	567
02 Albacete	Número de plazas estimadas	2017M12	869
02 Albacete	Número de plazas estimadas	2017M11	843
02 Albacete	Número de plazas estimadas	2017M10	815
02 Albacete	Número de plazas estimadas	2017M09	861
02 Albacete	Número de plazas estimadas	2017M08	840
02 Albacete	Número de plazas estimadas	2017M07	819
02 Albacete	Número de plazas estimadas	2017M06	809
02 Albacete	Número de plazas estimadas	2017M05	776
02 Albacete	Número de plazas estimadas	2017M04	785
02 Albacete	Número de plazas estimadas	2017M03	762
02 Albacete	Número de plazas estimadas	2017M02	449
02 Albacete	Número de plazas estimadas	2017M01	457
02 Albacete	Número de plazas estimadas	2016M12	711
02 Albacete	Número de plazas estimadas	2016M11	719
02 Albacete	Número de plazas estimadas	2016M10	712
02 Albacete	Número de plazas estimadas	2016M09	736
02 Albacete	Número de plazas estimadas	2016M08	703
02 Albacete	Número de plazas estimadas	2016M07	693
02 Albacete	Número de plazas estimadas	2016M06	720
02 Albacete	Número de plazas estimadas	2016M05	718
02 Albacete	Número de plazas estimadas	2016M04	726
02 Albacete	Número de plazas estimadas	2016M03	730
02 Albacete	Número de plazas estimadas	2016M02	739
02 Albacete	Número de plazas estimadas	2016M01	734
02 Albacete	Número de plazas estimadas	2015M12	657
02 Albacete	Número de plazas estimadas	2015M11	673
02 Albacete	Número de plazas estimadas	2015M10	709
02 Albacete	Número de plazas estimadas	2015M09	713
02 Albacete	Número de plazas estimadas	2015M08	739
02 Albacete	Número de plazas estimadas	2015M07	729
02 Albacete	Número de plazas estimadas	2015M06	699
02 Albacete	Número de plazas estimadas	2015M05	692
02 Albacete	Número de plazas estimadas	2015M04	605
02 Albacete	Número de plazas estimadas	2015M03	622
02 Albacete	Número de plazas estimadas	2015M02	610
02 Albacete	Número de plazas estimadas	2015M01	431
02 Albacete	Número de plazas estimadas	2014M12	631
02 Albacete	Número de plazas estimadas	2014M11	667
02 Albacete	Número de plazas estimadas	2014M10	652
02 Albacete	Número de plazas estimadas	2014M09	650
02 Albacete	Número de plazas estimadas	2014M08	652
02 Albacete	Número de plazas estimadas	2014M07	660
02 Albacete	Número de plazas estimadas	2014M06	680
02 Albacete	Número de plazas estimadas	2014M05	657
02 Albacete	Número de plazas estimadas	2014M04	655
02 Albacete	Número de plazas estimadas	2014M03	645
02 Albacete	Número de plazas estimadas	2014M02	469
02 Albacete	Número de plazas estimadas	2014M01	437
02 Albacete	Número de plazas estimadas	2013M12	""
02 Albacete	Número de plazas estimadas	2013M11	""
02 Albacete	Número de plazas estimadas	2013M10	""
02 Albacete	Número de plazas estimadas	2013M09	""
02 Albacete	Número de plazas estimadas	2013M08	""
02 Albacete	Número de plazas estimadas	2013M07	""
02 Albacete	Número de plazas estimadas	2013M06	""
02 Albacete	Número de plazas estimadas	2013M05	""
02 Albacete	Número de plazas estimadas	2013M04	""
02 Albacete	Número de plazas estimadas	2013M03	""
02 Albacete	Número de plazas estimadas	2013M02	""
02 Albacete	Número de plazas estimadas	2013M01	""
02 Albacete	Número de plazas estimadas	2012M12	""
02 Albacete	Número de plazas estimadas	2012M11	""
02 Albacete	Número de plazas estimadas	2012M10	""
02 Albacete	Número de plazas estimadas	2012M09	""
02 Albacete	Número de plazas estimadas	2012M08	""
02 Albacete	Número de plazas estimadas	2012M07	""
02 Albacete	Número de plazas estimadas	2012M06	""
02 Albacete	Número de plazas estimadas	2012M05	""
02 Albacete	Número de plazas estimadas	2012M04	""
02 Albacete	Número de plazas estimadas	2012M03	""
02 Albacete	Número de plazas estimadas	2012M02	""
02 Albacete	Número de plazas estimadas	2012M01	""
02 Albacete	Número de plazas estimadas	2011M12	""
02 Albacete	Número de plazas estimadas	2011M11	""
02 Albacete	Número de plazas estimadas	2011M10	""
