Total Nacional;Comunidades y Ciudades Autónomas;Provincias;Periodo;Total
Total Nacional;;;2024M08;1,5
Total Nacional;;;2024M02;1,33
Total Nacional;;;2023M08;1,29
Total Nacional;;;2023M02;1,21
Total Nacional;;;2022M08;1,24
Total Nacional;;;2022M02;1,13
Total Nacional;;;2021M08;1,22
Total Nacional;;;2021M02;1,17
Total Nacional;;;2020M08;1,28
Total Nacional;01 Andalucía;;2024M08;1,89
Total Nacional;01 Andalucía;;2024M02;1,76
Total Nacional;01 Andalucía;;2023M08;1,69
Total Nacional;01 Andalucía;;2023M02;1,61
Total Nacional;01 Andalucía;;2022M08;1,61
Total Nacional;01 Andalucía;;2022M02;1,4
Total Nacional;01 Andalucía;;2021M08;1,45
Total Nacional;01 Andalucía;;2021M02;1,41
Total Nacional;01 Andalucía;;2020M08;1,55
Total Nacional;01 Andalucía;04 Almería;2024M08;1,52
Total Nacional;01 Andalucía;04 Almería;2024M02;1,46
Total Nacional;01 Andalucía;04 Almería;2023M08;1,49
Total Nacional;01 Andalucía;04 Almería;2023M02;1,3
Total Nacional;01 Andalucía;04 Almería;2022M08;1,35
Total Nacional;01 Andalucía;04 Almería;2022M02;1,13
Total Nacional;01 Andalucía;04 Almería;2021M08;1,23
Total Nacional;01 Andalucía;04 Almería;2021M02;1,13
Total Nacional;01 Andalucía;04 Almería;2020M08;1,22
Total Nacional;01 Andalucía;11 Cádiz;2024M08;2,46
Total Nacional;01 Andalucía;11 Cádiz;2024M02;2,24
Total Nacional;01 Andalucía;11 Cádiz;2023M08;2,3
Total Nacional;01 Andalucía;11 Cádiz;2023M02;2,01
Total Nacional;01 Andalucía;11 Cádiz;2022M08;2,16
Total Nacional;01 Andalucía;11 Cádiz;2022M02;1,74
Total Nacional;01 Andalucía;11 Cádiz;2021M08;1,9
Total Nacional;01 Andalucía;11 Cádiz;2021M02;1,75
Total Nacional;01 Andalucía;11 Cádiz;2020M08;1,91
Total Nacional;01 Andalucía;14 Córdoba;2024M08;0,62
Total Nacional;01 Andalucía;14 Córdoba;2024M02;0,61
Total Nacional;01 Andalucía;14 Córdoba;2023M08;0,54
